Year,Rank,Artist,Song,Song_genre,Genre,relevant_genres,primary_genre
2012,3,fun.,We Are Young,We Are Young,"['indie', 'pop', 'fun', 'alternative', 'indie pop']","['indie', 'pop']",indie
2012,4,Maroon 5,Payphone,Payphone,"['maroon 5', 'pop', 'payphone', 'male vocalists', '2012']",['pop'],pop
2012,5,Ellie Goulding,Lights,Lights,"['pop', 'electronic', 'female vocalists', 'british', 'dance']",['pop'],pop
2012,6,The Wanted,Glad You Came,Glad You Came,"['pop', 'dance', 'summer', '2011', 'british']",['pop'],pop
2012,8,Rihanna,We Found Love,We Found Love,"['pop', 'dance', 'Rihanna', 'female vocalists', 'electronic']",['pop'],pop
2012,9,Nicki Minaj,Starships,Starships,"['pop', 'dance', 'nicki minaj', 'party', 'female vocalists']",['pop'],pop
2012,10,One Direction,What Makes You Beautiful,What Makes You Beautiful,"['pop', 'one direction', 'catchy', 'british', 'cutieee']",['pop'],pop
2012,11,Flo Rida,Wild Ones,Wild Ones,"['pop', 'electronica', 'female vocalists', 'party', 'sia']",['pop'],pop
2012,12,Adele,Set Fire To The Rain,Set Fire To The Rain,"['soul', 'Adele', 'female vocalists', 'pop', 'british']","['soul', 'pop']",soul
2012,13,LMFAO,Sexy And I Know It,Sexy And I Know It,"['dance', 'lmfao', 'pop', 'electronic', 'Hip-Hop']","['pop', 'Hip-Hop']",pop
2012,14,fun.,Some Nights,Some Nights,"['indie', 'pop', 'alternative', 'indie pop', '10s']","['indie', 'pop']",indie
2012,15,Katy Perry,Wide Awake,Wide Awake,"['pop', 'katy perry', 'wide awake', 'love at first listen', 'female vocalists']",['pop'],pop
2012,16,Flo Rida,Good Feeling,Good Feeling,"['party', 'Hip-Hop', 'electronic', 'dance', '2011']",['Hip-Hop'],hip hop
2012,17,Flo Rida,Whistle,Whistle,"['Hip-Hop', 'Flo Rida', 'pop', '2012', 'dance']","['Hip-Hop', 'pop']",hip hop
2012,18,Maroon 5,One More Night,One More Night,"['pop', 'maroon 5', 'rock', '2012', 'One more Night']","['pop', 'rock']",pop
2012,19,Train,Drive By,Drive By,"['pop', 'alternative', 'rock', 'pop rock', 'train']","['pop', 'rock']",pop
2012,20,Drake,The Motto,The Motto,"['rap', 'hip hop', 'Motto', 'Hip-Hop', '2010s']","['rap', 'hip hop', 'Hip-Hop']",rap
2012,21,Rihanna,Where Have You Been,Where Have You Been,"['dance', 'pop', 'Rihanna', 'electronic', 'electropop']",['pop'],pop
2012,22,Neon Trees,Everybody Talks,Everybody Talks,"['alternative', 'indie rock', 'catchy', 'rock', 'summer']",['rock'],rock
2012,23,Drake,Take Care,Take Care,"['Drake', 'rnb', 'pop', '2011', 'Rihanna']","['rnb', 'pop']",r&b
